,ID,name,category,main_category,currency,deadline,launched,state,backers,country,usd pledged,usd_pledged_real,usd_goal_real,timeline,duration
9725,1049035100,Public Radio is nothing without you...,Indie Rock,Music,USD,2011-03-18 00:00:00,2010-12-18 19:43:00,successful,142,US,8825.5,8825.5,8000.0,89,89
9809,1049452085,Eldritch Skies,Games,Games,USD,2011-05-12 00:00:00,2011-02-10 12:38:00,successful,140,US,6118.0,6118.0,5000.0,90,90
9949,1050164773,CHING CHONG CHINAMAN,Theater,Theater,USD,2011-09-01 00:00:00,2011-07-06 20:00:00,successful,113,US,5135.0,5135.0,3500.0,56,56
10042,1050531301,THE SNACK POSTER: A new creation inspired by Japanese food,Graphic Design,Design,USD,2015-11-02 00:00:00,2015-09-03 20:59:00,successful,240,US,10735.0,10735.0,1500.0,59,59
10076,1050732941,LENDEMAIN DE VEILLE,Country & Folk,Music,CAD,2017-03-29 00:00:00,2017-01-30 05:12:00,successful,118,CA,0.0,3978.02,0.75,57,57
10429,1052462915,Pure Steam - Pathfinder Compatible RPG Setting,Tabletop Games,Games,USD,2012-05-09 00:00:00,2012-03-10 19:49:00,successful,238,US,15060.66,15060.66,10800.0,59,59
10661,1053604666,Showbread: Cancer,Rock,Music,USD,2012-04-25 00:00:00,2012-02-25 02:00:00,successful,776,US,50121.24,50121.24,43000.0,59,59
10870,1054528439,"INTWO - stylish, yet comfortable.",Design,Design,EUR,2016-11-05 00:00:00,2016-09-06 20:01:00,successful,141,DE,6180.64,28214.24,10904.06,59,59
10909,1054672256,Dreameets: A revolutionary pillow originated from nature,Product Design,Design,USD,2017-10-29 00:00:00,2017-08-30 17:09:00,successful,152,US,1286.0,18040.0,5000.0,59,59
10967,1054984310,Brave Girl - The Movie,Shorts,Film & Video,USD,2011-05-19 00:00:00,2011-03-17 03:56:00,successful,177,US,31239.0,31239.0,30000.0,62,62
11141,1055890054,"Baltimore: A History, Block by Block, continued...",Photography,Photography,USD,2013-11-11 00:00:00,2013-09-12 15:57:00,successful,128,US,8226.0,8226.0,8000.0,59,59
11241,105634732,Suzanne's Rockin Dance Album,Electronic Music,Music,USD,2012-05-21 00:00:00,2012-03-22 16:49:00,successful,137,US,15195.0,15195.0,15000.0,59,59
11330,1056819973,"Picturing the South, A Photobook",Photobooks,Photography,USD,2012-06-23 00:00:00,2012-04-24 00:33:00,successful,362,US,24152.0,24152.0,16000.0,59,59
11425,1057275797,KAREN  KUEHN - MAVERICK CAMERA - The Photographs & Stories,Photobooks,Photography,USD,2016-04-09 00:00:00,2016-02-09 19:37:00,successful,273,US,21831.0,21831.0,21000.0,59,59
11671,1058503398,GYREO - The Ultimate Customisable Wireless Motion Gadget,Gadgets,Technology,GBP,2016-04-27 00:00:00,2016-02-27 04:17:00,canceled,362,GB,14787.76,15507.49,51150.9,59,59
11691,105862753,"Sanctuary Bistro: A vegan Bistro in the East Bay, Ca",Vegan,Food,USD,2013-09-10 00:00:00,2013-07-12 15:56:00,successful,298,US,27593.0,27593.0,25000.0,59,59
11773,1059051758,The All Day Every Day Pant || PUBLIC REC,Apparel,Fashion,USD,2015-07-18 00:00:00,2015-05-19 17:35:00,successful,1339,US,179078.0,179078.0,15000.0,59,59
12002,1060219091,Breakleague : ligue de breakdance,Dance,Dance,EUR,2016-07-25 00:00:00,2016-05-26 17:22:00,successful,112,FR,9282.5,11763.07,11112.96,59,59
12008,1060238474,Museum of Non-Visible Art- Praxis & James Franco collaborate,Conceptual Art,Art,USD,2011-08-31 00:00:00,2011-06-09 07:12:00,successful,164,US,16197.01,16197.01,5000.0,82,82
12187,1061069378,Recording an album of original music,Country & Folk,Music,USD,2012-02-12 00:00:00,2011-12-15 04:47:00,successful,124,US,21075.99,21075.99,20000.0,58,58
12262,1061488532,Slotto,Product Design,Design,USD,2012-01-31 00:00:00,2011-12-03 00:42:00,successful,387,US,36058.0,36058.0,32250.0,58,58
12267,1061501895,Katutubong Filipino Project: Vanishing Indigenous Cultures,Photography,Photography,USD,2012-02-05 00:00:00,2011-12-07 03:12:00,successful,156,US,11056.33,11056.33,10800.0,59,59
12346,1061900099,Help The 3 Heads record their new album!,Rock,Music,USD,2012-01-06 00:00:00,2011-11-07 20:23:00,successful,120,US,8377.0,8377.0,6000.0,59,59
12609,106328882,"Fine Dock for iPhone 5 & iPad mini, Complete Dock for others",Product Design,Design,USD,2012-11-30 00:00:00,2012-10-01 23:14:00,failed,325,US,25748.0,25748.0,40000.0,59,59
12775,1064152333,butt wasted. the party game for party people.,Tabletop Games,Games,USD,2017-06-17 00:00:00,2017-04-18 15:05:00,successful,217,US,340.0,25546.0,20000.0,59,59
12896,1064706269,The Sanctity of Sanctuary: Paul Strauss and the Equinox Farm,Documentary,Film & Video,USD,2012-02-04 00:00:00,2011-12-06 01:04:00,successful,148,US,20070.88,20070.88,20000.0,59,59
13013,1065295503,Ari and Gaelynn Make An Album!,Music,Music,USD,2013-02-04 00:00:00,2012-12-06 08:35:00,successful,134,US,4875.0,4875.0,3200.0,59,59
13337,1067151483,Misery Perfectum Eerie Vons Journey w Samhain Danzig Misfits,Documentary,Film & Video,USD,2015-05-05 00:00:00,2015-03-06 04:05:00,failed,170,US,11380.0,11380.0,75000.0,59,59
13356,1067227855,audiafauna's first full length studio album!!!,Hip-Hop,Music,USD,2011-02-01 00:00:00,2010-11-19 21:30:00,successful,127,US,8971.0,8971.0,8000.0,73,73
13385,1067365635,NINJA SPHERE: Next Generation Control of Your Environment,Hardware,Technology,AUD,2014-01-12 00:00:00,2013-11-13 03:33:00,successful,1772,AU,659563.3,617858.4,101081.13,59,59
13415,1067503683,"""A Bird Will Sing"" - The New Album by Serena Jost",Indie Rock,Music,USD,2010-09-18 00:00:00,2010-06-21 22:00:00,successful,123,US,10055.0,10055.0,10000.0,88,88
13457,1067734769,Smart Cargo for iPadâ„¢,Product Design,Design,USD,2013-08-09 00:00:00,2013-06-10 16:59:00,successful,1809,US,45629.0,45629.0,10000.0,59,59
13497,1067984061,Confine,Art Books,Publishing,EUR,2017-09-01 00:00:00,2017-07-03 09:30:00,successful,287,IT,2325.33,10896.46,10131.95,59,59
13588,1068462945,Mystery Brewing Company: A Non-Traditional Approach to Artisanal Ales,Food,Food,USD,2010-07-24 00:00:00,2010-05-16 17:11:00,successful,243,US,44259.01,44259.01,40000.0,68,68
13676,1068876619,Ablyâ„¢ | Unbelievably odor & stain repellant natural apparel,Apparel,Fashion,USD,2016-07-04 00:00:00,2016-05-05 20:35:00,successful,4900,US,540112.0,540112.0,20000.0,59,59
13792,1069403,Plastic Bottle Cutter,Product Design,Design,EUR,2016-04-23 00:00:00,2016-02-23 12:59:00,successful,7798,FR,396262.03,406638.97,9692.57,59,59
13807,1069487038,The Scott & Patti Show,Musical,Theater,USD,2014-09-18 00:00:00,2014-07-20 18:11:00,successful,129,US,6029.69,6029.69,5500.0,59,59
13812,1069495441,Redneck Ninjas,Animation,Film & Video,USD,2010-10-01 00:00:00,2010-08-01 20:00:00,successful,128,US,11440.0,11440.0,10000.0,60,60
13875,1069811621,Joshua Hoffine Horror Photography Book,Art Books,Publishing,USD,2016-06-25 00:00:00,2016-04-26 20:25:00,successful,547,US,47233.01,47233.01,20000.0,59,59
13938,1070137426,LinkMe - Personalized Smart Message Wristband,Product Design,Design,USD,2013-05-05 00:00:00,2013-03-06 06:10:00,failed,265,US,35087.0,35087.0,100000.0,59,59
14004,1070455286,The Mad Scientist: a feature film,Narrative Film,Film & Video,USD,2011-07-19 00:00:00,2011-05-20 11:52:00,successful,147,US,10016.11,10016.11,10000.0,59,59
14020,1070547989,I SAVED JAZZ PHOTOGRAPHY,Art Books,Publishing,USD,2012-12-08 00:00:00,2012-10-09 00:00:00,successful,222,US,25156.0,25156.0,23000.0,60,60
14024,1070559201,Dragon Valley - The Board Game,Tabletop Games,Games,USD,2011-08-15 00:00:00,2011-06-21 15:15:00,successful,278,US,20483.0,20483.0,16000.0,54,54
14284,1071867796,Self-closing water taps for locations without infrastructure,Product Design,Design,CAD,2014-05-21 00:00:00,2014-03-22 14:48:00,failed,111,CA,1971.11,2032.84,18346.94,59,59
